playerID,name,hits,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_season,award_summary
bereja01,Jason Bere,Right,27,TOT,MLB,10,15,14,0,0,0,0,0,0,0,0,1,5,0,0.067,0,0.067,-81,0,1,0,0,0,0,1,
guthrma01,Mark Guthrie,Right,32,LAD,NL,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,
clemero02,Roger Clemens,Right,35,TOR,AL,2,6,4,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0.2,-41,0,0,0,1,0,0,1,"AS,CYA-1,MVP-11"
shawje01,Jeff Shaw,Right,31,TOT,NL,68,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0,1,AS
pettian01,Andy Pettitte,Left,26,NYY,AL,2,6,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,2,0,0,1,
rhodear01,Arthur Rhodes,Left,28,BAL,AL,2,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,165,1,0,0,0,0,0,1,
shueypa01,Paul Shuey,Right,27,CLE,AL,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,
wakefti01,Tim Wakefield,Right,31,BOS,AL,2,5,2,0,0,0,0,0,0,0,0,1,2,0,0.333,0,0.333,-3,0,0,0,2,0,0,1/H,
hershor01,Orel Hershiser,Right,39,SFG,NL,34,78,66,7,10,2,0,0,1,1,0,3,16,0.152,0.2,0.182,0.382,4,12,0,1,8,0,0,1,
francjo01,John Franco,Left,37,NYM,NL,58,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,
mcmicgr01,Greg McMichael,Right,31,TOT,NL,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,
