playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB
sirotmi01,Mike Sirotka,Left,0,0,0.2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0
slocuhe01,Heathcliff Slocumb,Right,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sosasa01,Sammy Sosa,Right,0.30793157076205285,0.6469673405909798,0.3793584379358438,159,643,134,198,158,20,0,66,5,18,9,171,73,1,416
spencsh01,Shane Spencer,Right,0.373134328358209,0.9104477611940298,0.4166666666666667,27,67,18,25,27,6,0,10,1,0,1,12,5,0,61
spiezsc01,Scott Spiezio,Both,0.25862068965517243,0.3768472906403941,0.334070796460177,114,406,54,105,50,19,1,9,9,1,3,56,44,2,153
spradje01,Jerry Spradlin,Both,1,2,1,65,1,0,1,0,1,0,0,0,0,0,0,0,0,2
stairma01,Matt Stairs,Left,0.2944550669216061,0.5105162523900574,0.37244897959183676,149,523,88,154,106,33,1,26,5,8,3,93,59,6,267
steinte01,Terry Steinbach,Right,0.24170616113744076,0.4099526066350711,0.3103448275862069,124,422,45,102,54,25,2,14,1,0,1,89,38,4,173
stockke01,Kevin Stocker,Both,0.20833333333333334,0.3125,0.2830188679245283,112,336,37,70,25,11,3,6,10,5,3,80,27,8,105
stottto01,Todd Stottlemyre,Left,0.22641509433962265,0.22641509433962265,0.2807017543859649,22,53,3,12,1,0,0,0,5,0,0,24,4,0,12
swindgr01,Greg Swindell,Right,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tabakje01,Jeff Tabaka,Right,0,0,0,37,1,0,0,0,0,0,0,0,0,0,1,0,0,0
tatisfe01,Fernando Tatis,Right,0.27631578947368424,0.41541353383458646,0.32926829268292684,150,532,69,147,58,33,4,11,5,13,5,123,36,6,221
thomafr04,Frank Thomas,Right,0.26495726495726496,0.48034188034188036,0.38659058487874465,160,585,109,155,109,35,2,29,11,7,0,93,110,6,281
tuckemi01,Michael Tucker,Left,0.24396135265700483,0.4178743961352657,0.3283261802575107,130,414,54,101,46,27,3,13,3,8,3,112,49,3,173
venturo01,Robin Ventura,Left,0.2627118644067797,0.43559322033898307,0.35074626865671643,161,590,84,155,91,31,4,21,4,1,1,111,79,1,257
verasqu01,Quilvio Veras,Both,0.26692456479690524,0.35589941972920697,0.3756177924217463,138,517,79,138,45,24,2,6,5,24,9,78,84,6,184
vinafe01,Fernando Vina,Left,0.3108320251177394,0.42700156985871274,0.38687150837988826,159,637,101,198,45,39,7,7,6,22,16,46,54,25,272
vizquom01,Omar Vizquel,Both,0.2881944444444444,0.3715277777777778,0.3613707165109034,151,576,86,166,50,30,6,2,18,37,12,64,62,4,214
wakefti01,Tim Wakefield,Right,0,0,0.3333333333333333,2,2,0,0,0,0,0,0,2,0,0,2,1,0,0
walkela01,Larry Walker,Left,0.3634361233480176,0.6299559471365639,0.446360153256705,130,454,113,165,67,46,3,23,2,14,4,61,64,4,286
