playerID,name,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,E,PH,HBP,PB,TB
venturo01,Robin Ventura,0.153846154,0.269230769,0.290322581,8,26,3,4,2,1,1,,,,1,5,5,,,,,7
verasqu01,Quilvio Veras,0.1875,0.375,0.35,10,32,5,6,4,3,,1,,,2,5,7,2,,1,,12
vinafe01,Fernando Vina,0.055555556,0.055555556,0.105263158,8,18,2,1,1,,,,,,,3,1,1,,,,1
vizquom01,Omar Vizquel,0.296296296,0.37037037,0.333333333,14,54,5,16,4,2,1,,,1,1,9,3,,,,,20
wakefti01,Tim Wakefield,0,0,0.166666667,3,5,1,,,,,,,,,2,1,,,,,0
walkela01,Larry Walker,0.340909091,0.386363636,0.462962963,12,44,10,15,7,2,,,,,,2,10,,,,,17
watkipa01,Pat Watkins,0,0,0,2,1,,,,,,,,,,,,,,,,0
weisswa01,Walt Weiss,0.264705882,0.323529412,0.342105263,10,34,4,9,5,2,,,,,,2,4,1,,,,11
widgech01,Chris Widger,0.166666667,0.166666667,0.285714286,4,6,1,1,1,,,,1,2,1,1,1,1,,,,1
wilsocr02,Craig Wilson,0.357142857,0.642857143,0.357142857,3,14,3,5,2,1,,1,1,,,,,,,,,9
winstda01,Darrin Winston,,,,2,,,,,,,,,,,,,,,,,
wittbo01,Bobby Witt,0.25,0.25,0.25,2,4,,1,,,,,,,,3,,,,,,1
woodke02,Kerry Wood,0.333333333,0.333333333,0.333333333,2,3,,1,1,,,,,,,1,,,,,,1
yanes01,Esteban Yan,0,0,0,6,2,,,,,,,,,,1,,,,,,0
yoshima01,Masato Yoshii,0,0,0,2,4,,,,,,,1,,,1,,1,,,,0
zaungr01,Gregg Zaun,0.166666667,0.25,0.230769231,4,12,,2,1,1,,,,,,5,1,3,,,,3
zeileto01,Todd Zeile,0.111111111,0.222222222,0.111111111,6,9,1,1,,1,,,,,,2,,,1,,,2
zuberjo01,Jon Zuber,0.333333333,0.80952381,0.333333333,5,21,5,7,6,2,1,2,,,,5,,,,,,17
